episode,score,total_reward,epsilon,avg_loss
796,1,26.6,0.01,0.265324
797,0,6.8,0.01,0.203235
798,0,13.1,0.01,0.247541
799,0,12.5,0.01,0.224841
800,0,12.5,0.01,0.295462
801,0,12.5,0.01,0.226099
802,0,12.6,0.01,0.241079
803,1,28.6,0.01,0.286749
804,0,12.5,0.01,0.191149
805,1,28.6,0.01,0.265191
806,0,12.5,0.01,0.218334
807,0,12.5,0.01,0.237352
808,1,28.1,0.01,0.256054
809,0,12.5,0.01,0.232243
810,0,12.5,0.01,0.134543
811,0,13.4,0.01,0.205491
812,0,12.5,0.01,0.262029
813,0,12.4,0.01,0.155552
814,0,12.5,0.01,0.194014
815,1,28.6,0.01,0.179949
